,slp,rlm,industry,gas_to_electricity_public,electricity_from_gas,gas_price [€/MWh],producing_sector,manufacturing_sector,hospitality_sector,retail_sector,residential,commercial,decentral_chp,industry_buildings,aggregated,solar,temperature,temp_inertia,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,bridgeday
2017-08-18,0.22180309600000003,1.1870373500000002,0.6933877410778582,0.2962690630972851,0.18920121153062552,,103.6,102.2,109.5,103.1,0.19073005212188338,0.03475608679073836,0.005319809202664035,0.008866348671106725,0.22548613891262173,1.4048639104525204e-10,292.2119448992118,292.4988405680471,2017-08-18,229.0,2017,8,Friday,4,0,1,0,0,0,0
2017-08-19,0.27074392,1.011482567,0.6749621362535356,0.14438493862233273,0.09220606778356093,,103.6,102.2,109.5,103.1,0.23221232379108978,0.04508001723115086,0.006900002637421051,0.01150000439570175,0.27729234102224065,1.887173221191652e-10,288.5823427540101,290.3654616076261,2017-08-19,230.0,2017,8,Saturday,5,0,0,1,0,0,0
2017-08-20,0.31626456000000003,1.022867702,0.6942940602868081,0.13093510202782063,0.08361683017647728,,103.6,102.2,109.5,103.1,0.2799138734175703,0.05864171841175381,0.00897577322628885,0.014959622043814748,0.3385555918293241,1.9827082749097887e-10,287.66259766772873,288.85898062311867,2017-08-20,231.0,2017,8,Sunday,6,0,0,1,0,0,0
2017-08-21,0.355780328,1.254879571,0.8358049980717572,0.18115336816898117,0.11568685698098043,,103.6,102.2,109.5,103.1,0.30779309436364627,0.07180467072975899,0.01099051082598352,0.018317518043305867,0.37959776509340526,1.7800215601220017e-10,287.94771113650205,288.2405811828617,2017-08-21,232.0,2017,8,Monday,0,1,0,0,0,0,0
2017-08-22,0.34625928800000005,1.2903974379999998,0.8567114068683069,0.18981358418132188,0.12121738164839652,,103.6,102.2,109.5,103.1,0.3095742481973444,0.07265932384299864,0.011121325078009996,0.018535541796683326,0.38223357204034303,2.091163273471129e-10,288.5116631912822,288.2527792243613,2017-08-22,233.0,2017,8,Tuesday,1,0,0,0,0,0,0
2017-08-23,0.3032320399999999,1.285135867,0.859018341965981,0.18158838330555227,0.11596466320891718,,103.6,102.2,109.5,103.1,0.2671693022861404,0.058494643679239434,0.00895326178763869,0.014922102979397816,0.32566394596537984,2.450752989826765e-10,290.4406756632873,289.4086729663072,2017-08-23,234.0,2017,8,Wednesday,2,0,0,0,0,0,0
2017-08-24,0.273179224,1.298476775,0.8458856057176428,0.21180040724436697,0.1352584479607156,,103.6,102.2,109.5,103.1,0.22488058246818116,0.04658037474857562,0.007129649196210554,0.011882748660350922,0.2714609572167568,1.7746310109280354e-10,291.5225445305604,290.59427143691306,2017-08-24,235.0,2017,8,Thursday,3,0,0,0,0,0,0
2017-08-25,0.247371768,1.244253164,0.8051587303543593,0.20989703043520933,0.13404292719547906,,103.6,102.2,109.5,103.1,0.20856768213212754,0.04034831975853875,0.006175763228347769,0.01029293871391295,0.2489160018906663,2.129631287562776e-10,291.79870703483994,291.32485649802305,2017-08-25,236.0,2017,8,Friday,4,0,1,0,0,0,0
2017-08-26,0.219929928,1.0272680520000002,0.6787669031517046,0.1552825874360775,0.09916544564380936,,103.6,102.2,109.5,103.1,0.19184381113567647,0.03328459724582539,0.005094581211095722,0.008490968685159537,0.22512840838150186,1.8814309792328285e-10,293.17926323901446,292.4076469116503,2017-08-26,237.0,2017,8,Saturday,5,0,0,1,0,0,0
2017-08-27,0.22514323200000003,1.028479525,0.6928838491144146,0.13835856852219697,0.08835755078972542,,103.6,102.2,109.5,103.1,0.19410178235557543,0.03463008002442576,0.005300522452718229,0.008834204087863715,0.2287318623800012,1.9906800552403073e-10,291.9534477898647,292.23097260177616,2017-08-27,238.0,2017,8,Sunday,6,0,0,1,0,0,0
