"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2021","18.800","18.200","18.850","18.200","0.78K","1.90%"
"Mar 29, 2021","18.450","18.260","18.590","18.120","0.82K","-1.34%"
"Mar 26, 2021","18.700","18.600","18.820","18.570","1.21K","1.85%"
"Mar 25, 2021","18.360","18.600","18.600","18.270","1.49K","-1.24%"
"Mar 24, 2021","18.590","18.650","18.820","18.020","1.96K","1.09%"
"Mar 23, 2021","18.390","17.850","18.400","17.620","1.76K","1.88%"
"Mar 22, 2021","18.050","17.270","18.070","17.270","1.81K","4.52%"
"Mar 19, 2021","17.270","17.350","17.500","17.230","1.14K","-2.76%"
"Mar 18, 2021","17.760","18.160","18.400","17.500","0.90K","-1.17%"
"Mar 17, 2021","17.970","17.450","18.110","17.450","0.64K","1.76%"
"Mar 16, 2021","17.660","17.830","17.830","17.270","0.82K","-1.51%"
"Mar 15, 2021","17.930","18.170","18.880","17.870","0.88K","-2.82%"
"Mar 12, 2021","18.450","17.970","18.570","17.930","0.71K","1.82%"
"Mar 11, 2021","18.120","17.480","18.160","17.480","1.18K","2.78%"
"Mar 10, 2021","17.630","17.150","17.700","17.150","0.59K","4.13%"
"Mar 09, 2021","16.930","16.380","16.980","16.380","0.46K","4.83%"
"Mar 08, 2021","16.150","16.550","16.550","16.120","0.75K","-1.28%"
"Mar 05, 2021","16.360","15.850","16.450","15.780","0.58K","2.70%"
"Mar 04, 2021","15.930","15.590","15.970","15.570","0.53K","2.58%"
"Mar 03, 2021","15.530","15.600","15.680","15.500","0.46K","-2.14%"
"Mar 02, 2021","15.870","16.000","16.030","15.800","0.60K","-1.31%"
"Mar 01, 2021","16.080","16.000","16.100","15.930","0.36K","2.42%"
"Feb 26, 2021","15.700","15.950","15.970","15.550","0.44K","-1.51%"
"Feb 25, 2021","15.940","16.400","16.400","16.070","0.42K","-2.69%"
"Feb 24, 2021","16.380","16.120","16.350","16.050","0.77K","0.80%"
"Feb 23, 2021","16.250","16.100","16.400","16.050","0.42K","1.82%"
"Feb 22, 2021","15.960","16.250","16.250","15.820","0.50K","-3.56%"
"Feb 19, 2021","16.550","17.320","17.450","16.460","0.77K","-4.50%"
"Feb 18, 2021","17.330","16.900","17.350","16.840","1.00K","4.78%"
"Feb 17, 2021","16.540","17.150","17.300","16.400","1.08K","-1.02%"
"Feb 16, 2021","16.710","16.750","16.950","16.350","1.31K","-5.16%"
"Feb 12, 2021","17.620","17.070","17.650","16.950","0.60K","1.38%"
"Feb 11, 2021","17.380","18.150","18.150","17.380","1.63K","-6.36%"
"Feb 10, 2021","18.560","18.850","19.020","18.450","0.51K","-2.57%"
"Feb 09, 2021","19.050","18.860","19.300","18.750","0.58K","-5.60%"
"Feb 08, 2021","20.180","20.380","20.380","19.600","0.48K","9.79%"
"Feb 05, 2021","18.380","18.550","18.900","18.300","1.05K","1.43%"
"Feb 04, 2021","18.120","17.850","18.350","17.750","0.80K","1.46%"
"Feb 03, 2021","17.860","17.650","17.750","17.350","0.43K","-2.14%"
"Feb 02, 2021","18.250","18.200","18.500","18.110","0.35K","0.61%"
"Feb 01, 2021","18.140","19.050","19.050","17.880","0.84K","-8.48%"
"Jan 29, 2021","19.820","20.600","20.600","19.590","0.44K","-5.21%"
"Jan 28, 2021","20.910","20.600","20.880","20.350","0.29K","6.14%"
"Jan 27, 2021","19.700","19.000","19.900","18.900","0.38K","0.97%"
"Jan 26, 2021","19.510","19.800","20.070","19.180","0.79K","-3.22%"
"Jan 25, 2021","20.160","22.150","22.150","20.050","1.05K","-6.15%"
"Jan 22, 2021","21.480","20.750","21.500","20.750","0.94K","7.03%"
"Jan 21, 2021","20.070","19.820","20.500","19.550","0.43K","-0.94%"
"Jan 20, 2021","20.260","21.400","21.600","19.930","0.68K","-0.30%"
"Jan 19, 2021","20.320","19.100","20.400","18.900","1.05K","0.59%"
"Jan 15, 2021","20.200","20.100","20.400","19.620","0.52K","-5.34%"
"Jan 14, 2021","21.340","21.250","21.250","20.320","0.34K","-0.74%"
"Jan 13, 2021","21.500","23.480","23.900","21.600","0.54K","-17.81%"
"Jan 12, 2021","26.160","23.240","26.090","23.200","0.14K","18.26%"
"Jan 11, 2021","22.120","21.350","22.540","21.200","0.46K","9.94%"
"Jan 08, 2021","20.120","20.400","20.700","19.890","0.39K","4.25%"
"Jan 07, 2021","19.300","18.270","19.420","18.270","0.18K","9.85%"
"Jan 06, 2021","17.570","17.880","18.520","17.380","0.70K","-2.39%"
"Jan 05, 2021","18.000","18.910","18.950","17.930","0.51K","-9.27%"
"Jan 04, 2021","19.840","19.450","20.300","19.450","0.80K","3.77%"
